From,NOX (ppb)
04/02/2023 18:30,50
04/02/2023 18:45,51.9
04/02/2023 19:00,53.8
04/02/2023 19:15,56
04/02/2023 19:30,57.6
04/02/2023 19:45,59.1
04/02/2023 20:00,60.6
04/02/2023 20:15,63.2
04/02/2023 20:30,65.9
04/02/2023 20:45,69.2
04/02/2023 21:00,72.2
04/02/2023 21:15,74.2
04/02/2023 21:30,74.9
04/02/2023 21:45,74.8
04/02/2023 22:00,73.8
04/02/2023 22:15,72.6
04/02/2023 22:30,72
04/02/2023 22:45,71.8
04/02/2023 23:00,72.7
04/02/2023 23:15,72.8
04/02/2023 23:30,72.3
04/02/2023 23:45,71.5
05/02/2023 00:00,70.9
05/02/2023 00:15,69.5
05/02/2023 00:30,69.1
05/02/2023 00:45,69.1
05/02/2023 01:00,70.4
05/02/2023 01:15,72.3
05/02/2023 01:30,75.3
05/02/2023 01:45,79.5
05/02/2023 02:00,83.3
05/02/2023 02:15,87.8
05/02/2023 02:30,91.8
05/02/2023 02:45,94.1
05/02/2023 03:00,95.9
05/02/2023 03:15,96.4
05/02/2023 03:30,95.8
05/02/2023 03:45,93.5
05/02/2023 04:00,90.2
05/02/2023 04:15,87.2
05/02/2023 04:30,82.9
05/02/2023 04:45,78.7
05/02/2023 05:00,75.3
05/02/2023 05:15,71.8
05/02/2023 05:30,68.5
05/02/2023 05:45,67
05/02/2023 06:00,65.7
05/02/2023 06:15,64.4
05/02/2023 06:30,64.1
05/02/2023 06:45,64.5
05/02/2023 07:00,66.5
05/02/2023 07:15,67.5
05/02/2023 07:30,68.7
05/02/2023 07:45,68
05/02/2023 08:00,67.2
05/02/2023 08:15,65.8
05/02/2023 08:30,64
05/02/2023 08:45,62.4
05/02/2023 09:00,60.9
05/02/2023 09:15,58.5
05/02/2023 09:30,57.8
05/02/2023 09:45,56.3
05/02/2023 10:00,55.4
05/02/2023 10:15,54
05/02/2023 10:30,53.4
05/02/2023 10:45,52.7
05/02/2023 11:00,51.9
05/02/2023 11:15,51.1
05/02/2023 11:30,50
05/02/2023 11:45,49.65
05/02/2023 12:00,49.3
05/02/2023 12:15,48.95
05/02/2023 12:30,48.6
05/02/2023 12:45,49.2
05/02/2023 13:00,50.6
05/02/2023 13:15,51.3
05/02/2023 13:30,51.5
05/02/2023 13:45,51.8
05/02/2023 14:00,52.4
05/02/2023 14:15,52.7
05/02/2023 14:30,50.8
05/02/2023 14:45,48
05/02/2023 15:00,48.1
05/02/2023 15:15,50.7
05/02/2023 15:30,48.69090909
05/02/2023 15:45,46.68181818
05/02/2023 16:00,44.67272727
05/02/2023 16:15,42.66363636
05/02/2023 16:30,40.65454545
05/02/2023 16:45,38.64545455
05/02/2023 17:00,36.63636364
05/02/2023 17:15,34.62727273
05/02/2023 17:30,32.61818182
05/02/2023 17:45,30.60909091
05/02/2023 18:00,28.6
05/02/2023 18:15,30.1
05/02/2023 18:30,31.1
05/02/2023 18:45,32.8
05/02/2023 19:00,35.6
05/02/2023 19:15,38.5
05/02/2023 19:30,42.3
05/02/2023 19:45,47.4
05/02/2023 20:00,52.3
05/02/2023 20:15,56.5
05/02/2023 20:30,60.2
05/02/2023 20:45,63.3
05/02/2023 21:00,67.2
05/02/2023 21:15,72.9
05/02/2023 21:30,78.2
05/02/2023 21:45,83.1
05/02/2023 22:00,87.5
05/02/2023 22:15,90.5
05/02/2023 22:30,93
05/02/2023 22:45,94.7
05/02/2023 23:00,96.3
05/02/2023 23:15,98
05/02/2023 23:30,100.2
05/02/2023 23:45,101.9
06/02/2023 00:00,102.8
06/02/2023 00:15,103.2
