From,PM10 (µg/m3)
06/02/2023 10:30,240
06/02/2023 10:45,240
06/02/2023 11:00,240
06/02/2023 11:15,240
06/02/2023 11:30,240
06/02/2023 11:45,177
06/02/2023 12:00,177
06/02/2023 12:15,177
06/02/2023 12:30,177
06/02/2023 12:45,117
06/02/2023 13:00,117
06/02/2023 13:15,117
06/02/2023 13:30,117
06/02/2023 13:45,77
06/02/2023 14:00,77
06/02/2023 14:15,77
06/02/2023 14:30,77
06/02/2023 14:45,127
06/02/2023 15:00,127
06/02/2023 15:15,127
06/02/2023 15:30,127
06/02/2023 15:45,244
06/02/2023 16:00,244
06/02/2023 16:15,244
06/02/2023 16:30,244
06/02/2023 16:45,130
06/02/2023 17:00,130
06/02/2023 17:15,130
06/02/2023 17:30,130
06/02/2023 17:45,103
06/02/2023 18:00,103
06/02/2023 18:15,103
06/02/2023 18:30,103
06/02/2023 18:45,103
06/02/2023 19:00,103
06/02/2023 19:15,103
06/02/2023 19:30,103
06/02/2023 19:45,351
06/02/2023 20:00,351
06/02/2023 20:15,351
06/02/2023 20:30,351
06/02/2023 20:45,305
06/02/2023 21:00,305
06/02/2023 21:15,305
06/02/2023 21:30,305
06/02/2023 21:45,260
06/02/2023 22:00,260
06/02/2023 22:15,260
06/02/2023 22:30,260
06/02/2023 22:45,404
06/02/2023 23:00,404
06/02/2023 23:15,404
06/02/2023 23:30,404
06/02/2023 23:45,293
07/02/2023 00:00,293
07/02/2023 00:15,293
07/02/2023 00:30,293
07/02/2023 00:45,364
07/02/2023 01:00,364
07/02/2023 01:15,364
07/02/2023 01:30,364
07/02/2023 01:45,541
07/02/2023 02:00,541
07/02/2023 02:15,541
07/02/2023 02:30,541
07/02/2023 02:45,541
07/02/2023 03:00,541
07/02/2023 03:15,541
07/02/2023 03:30,541
07/02/2023 03:45,234
07/02/2023 04:00,234
07/02/2023 04:15,234
07/02/2023 04:30,234
07/02/2023 04:45,151
07/02/2023 05:00,151
07/02/2023 05:15,151
07/02/2023 05:30,151
07/02/2023 05:45,139
07/02/2023 06:00,139
07/02/2023 06:15,139
07/02/2023 06:30,139
07/02/2023 06:45,287
07/02/2023 07:00,287
07/02/2023 07:15,287
07/02/2023 07:30,287
07/02/2023 07:45,350
07/02/2023 08:00,350
07/02/2023 08:15,350
07/02/2023 08:30,350
07/02/2023 08:45,698
07/02/2023 09:00,698
07/02/2023 09:15,698
07/02/2023 09:30,698
07/02/2023 09:45,129
07/02/2023 10:00,129
07/02/2023 10:15,129
07/02/2023 10:30,129
07/02/2023 10:45,162
07/02/2023 11:00,162
07/02/2023 11:15,162
07/02/2023 11:30,162
07/02/2023 11:45,128
07/02/2023 12:00,128
07/02/2023 12:15,128
07/02/2023 12:30,128
07/02/2023 12:45,94
07/02/2023 13:00,94
07/02/2023 13:15,94
07/02/2023 13:30,94
07/02/2023 13:45,94
07/02/2023 14:00,94
07/02/2023 14:15,94
07/02/2023 14:30,94
07/02/2023 14:45,86
07/02/2023 15:00,86
07/02/2023 15:15,86
07/02/2023 15:30,86
07/02/2023 15:45,81
07/02/2023 16:00,81
07/02/2023 16:15,81
07/02/2023 16:30,81
07/02/2023 16:45,85
07/02/2023 17:00,85
07/02/2023 17:15,85
07/02/2023 17:30,85
07/02/2023 17:45,141
07/02/2023 18:00,141
07/02/2023 18:15,141
07/02/2023 18:30,141
07/02/2023 18:45,228
07/02/2023 19:00,228
07/02/2023 19:15,228
07/02/2023 19:30,228
07/02/2023 19:45,272
07/02/2023 20:00,272
07/02/2023 20:15,272
07/02/2023 20:30,272
07/02/2023 20:45,163
07/02/2023 21:00,163
07/02/2023 21:15,163
07/02/2023 21:30,163
07/02/2023 21:45,163
07/02/2023 22:00,163
07/02/2023 22:15,163
07/02/2023 22:30,163
07/02/2023 22:45,122
07/02/2023 23:00,122
