From,CO (mg/m3)
04/02/2023 09:15,0.5
04/02/2023 09:30,0.45
04/02/2023 09:45,0.72
04/02/2023 10:00,0.99
04/02/2023 10:15,1.26
04/02/2023 10:30,0.41
04/02/2023 10:45,0.4
04/02/2023 11:00,0.39
04/02/2023 11:15,0.38
04/02/2023 11:30,0.37
04/02/2023 11:45,0.33
04/02/2023 12:00,0.3
04/02/2023 12:15,0.3
04/02/2023 12:30,0.29
04/02/2023 12:45,0.27
04/02/2023 13:00,0.5375
04/02/2023 13:15,0.805
04/02/2023 13:30,1.0725
04/02/2023 13:45,1.34
04/02/2023 14:00,1.33
04/02/2023 14:15,1.31
04/02/2023 14:30,0.98
04/02/2023 14:45,0.68
04/02/2023 15:00,0.66
04/02/2023 15:15,0.65
04/02/2023 15:30,0.66
04/02/2023 15:45,0.66
04/02/2023 16:00,0.66
04/02/2023 16:15,0.66
04/02/2023 16:30,0.66
04/02/2023 16:45,0.69
04/02/2023 17:00,0.7
04/02/2023 17:15,0.7
04/02/2023 17:30,0.7
04/02/2023 17:45,0.74
04/02/2023 18:00,0.8
04/02/2023 18:15,0.84
04/02/2023 18:30,0.87
04/02/2023 18:45,0.93
04/02/2023 19:00,1.02
04/02/2023 19:15,1.03
04/02/2023 19:30,1.08
04/02/2023 19:45,1.03
04/02/2023 20:00,1.52
04/02/2023 20:15,2.2
04/02/2023 20:30,2.07
04/02/2023 20:45,1.95
04/02/2023 21:00,1.43
04/02/2023 21:15,1.36
04/02/2023 21:30,1.44
04/02/2023 21:45,1.72
04/02/2023 22:00,1.66
04/02/2023 22:15,1.68
04/02/2023 22:30,1.83
04/02/2023 22:45,2
04/02/2023 23:00,2.02
04/02/2023 23:15,2.22
04/02/2023 23:30,1.92
04/02/2023 23:45,1.71
05/02/2023 00:00,1.5
05/02/2023 00:15,1.28
05/02/2023 00:30,1.19
05/02/2023 00:45,1.16
05/02/2023 01:00,1.23
05/02/2023 01:15,1.19
05/02/2023 01:30,1.25
05/02/2023 01:45,1.31
05/02/2023 02:00,1.29
05/02/2023 02:15,1.28
05/02/2023 02:30,1.27
05/02/2023 02:45,1.23
05/02/2023 03:00,1.21
05/02/2023 03:15,1.2
05/02/2023 03:30,1.08
05/02/2023 03:45,0.98
05/02/2023 04:00,0.77
05/02/2023 04:15,0.65
05/02/2023 04:30,0.66
05/02/2023 04:45,0.72
05/02/2023 05:00,0.62
05/02/2023 05:15,0.6
05/02/2023 05:30,0.63
05/02/2023 05:45,0.71
05/02/2023 06:00,0.74
05/02/2023 06:15,1.12
05/02/2023 06:30,1.16
05/02/2023 06:45,1.35
05/02/2023 07:00,1.27
05/02/2023 07:15,1.24
05/02/2023 07:30,0.82
05/02/2023 07:45,0.57
05/02/2023 08:00,0.5
05/02/2023 08:15,0.49
05/02/2023 08:30,0.58
05/02/2023 08:45,0.55
05/02/2023 09:00,0.55
05/02/2023 09:15,0.63
