From,NH3 (µg/m3)
04/02/2023 02:30,27.5
04/02/2023 02:45,26.9
04/02/2023 03:00,26.7
04/02/2023 03:15,26
04/02/2023 03:30,26.1
04/02/2023 03:45,26.3
04/02/2023 04:00,26.3
04/02/2023 04:15,26.2
04/02/2023 04:30,26.1
04/02/2023 04:45,26.2
04/02/2023 05:00,25.9
04/02/2023 05:15,22.8
04/02/2023 05:30,21.1
04/02/2023 05:45,20.3
04/02/2023 06:00,20.1
04/02/2023 06:15,19.5
04/02/2023 06:30,19.6
04/02/2023 06:45,19.5
04/02/2023 07:00,19.4
04/02/2023 07:15,19.9
04/02/2023 07:30,20.1
04/02/2023 07:45,20.8
04/02/2023 08:00,20.9
04/02/2023 08:15,20.4
04/02/2023 08:30,20.3
04/02/2023 08:45,21.2
04/02/2023 09:00,22
04/02/2023 09:15,23.6
04/02/2023 09:30,24.6
04/02/2023 09:45,26.5
04/02/2023 10:00,28.1
04/02/2023 10:15,29.9
04/02/2023 10:30,29.6
04/02/2023 10:45,31.5
04/02/2023 11:00,31.6
04/02/2023 11:15,31
04/02/2023 11:30,30.4
04/02/2023 11:45,29.86666667
04/02/2023 12:00,29.33333333
04/02/2023 12:15,28.8
04/02/2023 12:30,27
04/02/2023 12:45,28.8
04/02/2023 13:00,28.7
04/02/2023 13:15,28.6
04/02/2023 13:30,28.5
04/02/2023 13:45,30
04/02/2023 14:00,29.5
04/02/2023 14:15,28.4
04/02/2023 14:30,27.1
04/02/2023 14:45,25.7
04/02/2023 15:00,25.8
04/02/2023 15:15,26.4
04/02/2023 15:30,26.5
04/02/2023 15:45,26.1
04/02/2023 16:00,25.1
04/02/2023 16:15,24.3
04/02/2023 16:30,23.9
04/02/2023 16:45,23.8
04/02/2023 17:00,23.5
04/02/2023 17:15,23.3
04/02/2023 17:30,22.6
04/02/2023 17:45,23.3
04/02/2023 18:00,25.7
04/02/2023 18:15,26.9
04/02/2023 18:30,27.6
04/02/2023 18:45,28
04/02/2023 19:00,27.7
04/02/2023 19:15,27.2
04/02/2023 19:30,27.1
04/02/2023 19:45,27.8
04/02/2023 20:00,27.9
04/02/2023 20:15,27.4
04/02/2023 20:30,28.4
04/02/2023 20:45,28.6
04/02/2023 21:00,28.2
04/02/2023 21:15,27.8
04/02/2023 21:30,27.9
04/02/2023 21:45,28.6
04/02/2023 22:00,27.2
04/02/2023 22:15,25.1
04/02/2023 22:30,23.5
04/02/2023 22:45,22.4
04/02/2023 23:00,21.5
04/02/2023 23:15,21.3
04/02/2023 23:30,21.6
04/02/2023 23:45,22.1
05/02/2023 00:00,22.2
05/02/2023 00:15,22.6
05/02/2023 00:30,22.2
05/02/2023 00:45,22.5
05/02/2023 01:00,22.6
05/02/2023 01:15,22.5
05/02/2023 01:30,22.2
05/02/2023 01:45,23.3
05/02/2023 02:00,25
05/02/2023 02:15,26.4
05/02/2023 02:30,27.3
05/02/2023 02:45,28.4
05/02/2023 03:00,28.6
05/02/2023 03:15,28
05/02/2023 03:30,27.7
05/02/2023 03:45,28.3
05/02/2023 04:00,28.8
05/02/2023 04:15,28
05/02/2023 04:30,27.9
05/02/2023 04:45,28.1
05/02/2023 05:00,27.9
05/02/2023 05:15,27.6
05/02/2023 05:30,27.6
05/02/2023 05:45,27.8
05/02/2023 06:00,25.5
05/02/2023 06:15,23.2
05/02/2023 06:30,22.6
05/02/2023 06:45,22.2
05/02/2023 07:00,21.5
05/02/2023 07:15,21.5
05/02/2023 07:30,21.7
05/02/2023 07:45,22.1
05/02/2023 08:00,21.9
05/02/2023 08:15,22.1
05/02/2023 08:30,22.3
05/02/2023 08:45,22.4
05/02/2023 09:00,22.6
05/02/2023 09:15,22.8
05/02/2023 09:30,22.4
05/02/2023 09:45,23.3
05/02/2023 10:00,25.6
05/02/2023 10:15,26.4
05/02/2023 10:30,26.8
05/02/2023 10:45,27.1
05/02/2023 11:00,26.6
05/02/2023 11:15,25.9
05/02/2023 11:30,25.4
05/02/2023 11:45,25.93333333
05/02/2023 12:00,26.46666667
05/02/2023 12:15,27
05/02/2023 12:30,24.5
05/02/2023 12:45,26.1
05/02/2023 13:00,25.6
05/02/2023 13:15,24.8
05/02/2023 13:30,24.5
05/02/2023 13:45,25.1
05/02/2023 14:00,25.6
05/02/2023 14:15,26.2
05/02/2023 14:30,24
05/02/2023 14:45,22.3
05/02/2023 15:00,23.5
05/02/2023 15:15,33.6
05/02/2023 15:30,33
05/02/2023 15:45,32.4
05/02/2023 16:00,31.8
05/02/2023 16:15,31.2
05/02/2023 16:30,30.6
05/02/2023 16:45,30
